Team,Games Played,Points,Final Position,Total Changes,Gold Cup Players
Toronto,34,69,1,98,5
New York City FC,34,57,2,65,4
Chicago,34,55,3,54,1
Atlanta United,34,55,4,49,2
Columbus,34,54,5,84,0
Portland,34,53,6,68,3
Seattle,34,53,7,85,4
Vancouver,34,52,8,119,3
New York,34,50,9,104,2
Houston,34,50,10,94,4
Kansas City,34,49,11,80,3
San Jose,34,46,12,79,3
FC Dallas,34,46,13,104,3
Salt Lake,34,45,14,99,0
New England,34,45,15,85,3
Philadelphia,34,42,16,61,3
Montreal,34,39,17,112,3
Orlando City,34,39,18,90,0
Minnesota United,34,36,19,72,3
Colorado,34,33,20,90,0
DC United,34,32,21,97,1
L.A. Galaxy,34,32,22,84,1
